Years & Months,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,,,,,,
1999-08,0.2,2.8,1.8,0,0.1,0.1,0,0,0,16.2,16.3,26.1,85.1,0,42.9,10.8,96.4,37.6,58.8,6.6,4.5,5.6,9.4,19.4,1.8,0,0.1,8.6,3.2,1.6,18.2,,,,,,
1999-09,0.1,0,0,5.2,0,0,0,1.9,0.3,0,0,0,0,0,0,0.2,24.4,0.3,0.1,3.4,0,4.4,0.8,0,0,0,0.1,0,30.4,1,,,,,,,
1999-10,6.8,10.9,0.1,1.2,8,33.4,31.1,1.8,0,6,14.6,0,32.1,1.4,15.4,0.8,0.3,5.1,0,0,0,0.2,0.1,61.1,0,0.8,0,0,0.1,0,0,,,,,,
1999-11,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.2,71.4,0,0,0.1,0.9,0.3,0,0,8.4,0,0,54.2,0.6,45,21.6,,,,,,,
1999-12,46.3,1,50.8,1.4,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,5.2,10.1,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2000-01,0,0,0,0,0,0,1.2,7.2,0,29.8,38.5,24.6,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2000-02,0,0,12.5,11.4,3.3,0,11.9,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,,,,,,,,
2000-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.2,0,0,0,0,0,0,0,,,,,,
2000-04,0,54.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.2,0,0,0,0,0,0,0,,,,,,,
2000-05,0,0,0,0,0,0,0.1,0,0,0,0,2.4,2.1,0,1.3,0,17.4,33.1,14,0.8,0,0,1.1,1.3,20.5,10.3,36.9,2.1,0.4,0,2.1,,,,,,
2000-06,7.8,0,4.1,2.3,24.7,12.5,30.5,22.2,37.2,21.4,0.9,10.7,8,0,0,0,0.3,2.5,6.3,0,5.3,11.8,0.6,0.9,29.3,1.2,0,2.4,13.5,13.6,,,,,,,
2000-07,26.7,1.9,0,6.3,0,2.3,0,0.1,0,0,2.4,11.5,12.1,3.6,0,0,0,0,0,0,0,0,0,0,0,62.2,0.5,12.3,4.2,0,5.4,,,,,,
